codigo,turno,data/hora
202400432,Manhã,2025-03-01 07:31:15
202500495,Tarde,2025-03-01 13:03:05
202500490,Tarde,2025-03-01 13:09:21
202500498,Tarde,2025-03-01 13:15:09
202500493,Tarde,2025-03-01 14:23:28
202500490,Tarde,2025-03-01 17:04:01
202500495,Tarde,2025-03-01 17:12:55
202500493,Tarde,2025-03-01 17:17:45
202500498,Tarde,2025-03-01 17:36:51
202500499,Tarde,2025-03-01 17:37:34
202500499,Tarde,2025-03-01 17:37:35
202500499,Tarde,2025-03-01 17:37:47
202500499,Tarde,2025-03-01 17:37:56
202500498,Tarde,2025-03-01 17:52:06
