codigo,turno,data/hora,tipo
202500454,Tarde,2025-04-17 13:03:53,Acesso
202500426,Tarde,2025-04-17 13:09:05,Acesso
202500481,Tarde,2025-04-17 13:09:17,Acesso
202500379,Tarde,2025-04-17 13:09:20,Acesso
202500382,Tarde,2025-04-17 13:09:24,Acesso
202500380,Tarde,2025-04-17 13:09:32,Acesso
202500395,Tarde,2025-04-17 13:09:36,Acesso
202500414,Tarde,2025-04-17 13:09:39,Acesso
202500408,Tarde,2025-04-17 13:09:44,Acesso
202500413,Tarde,2025-04-17 13:09:47,Acesso
202500438,Tarde,2025-04-17 13:09:50,Acesso
202500433,Tarde,2025-04-17 13:09:53,Acesso
202500437,Tarde,2025-04-17 13:09:56,Acesso
202500456,Tarde,2025-04-17 13:09:58,Acesso
202500389,Tarde,2025-04-17 13:10:02,Acesso
202500415,Tarde,2025-04-17 13:10:04,Acesso
202500422,Tarde,2025-04-17 13:10:07,Acesso
202500404,Tarde,2025-04-17 13:10:09,Acesso
202500419,Tarde,2025-04-17 13:10:11,Acesso
202500427,Tarde,2025-04-17 13:10:14,Acesso
202500384,Tarde,2025-04-17 13:10:16,Acesso
202500406,Tarde,2025-04-17 13:10:19,Acesso
202500418,Tarde,2025-04-17 13:10:21,Acesso
202500508,Tarde,2025-04-17 13:10:23,Acesso
202500424,Tarde,2025-04-17 13:10:25,Acesso
202500444,Tarde,2025-04-17 13:10:27,Acesso
202500431,Tarde,2025-04-17 13:10:29,Acesso
202500421,Tarde,2025-04-17 13:10:34,Acesso
202500420,Tarde,2025-04-17 13:10:36,Acesso
202500398,Tarde,2025-04-17 13:10:37,Acesso
202500386,Tarde,2025-04-17 13:10:39,Acesso
202500505,Tarde,2025-04-17 13:10:43,Acesso
202500393,Tarde,2025-04-17 13:10:48,Acesso
202500394,Tarde,2025-04-17 13:10:52,Acesso
202500407,Tarde,2025-04-17 13:10:55,Acesso
202500509,Tarde,2025-04-17 13:10:59,Acesso
202500472,Tarde,2025-04-17 13:11:03,Acesso
202500450,Tarde,2025-04-17 13:11:04,Acesso
202500457,Tarde,2025-04-17 13:11:07,Acesso
202500452,Tarde,2025-04-17 13:11:10,Acesso
202500455,Tarde,2025-04-17 13:11:14,Acesso
202500467,Tarde,2025-04-17 13:11:20,Acesso
202500466,Tarde,2025-04-17 13:11:22,Acesso
202500449,Tarde,2025-04-17 13:11:30,Acesso
202500439,Tarde,2025-04-17 13:11:43,Acesso
202500416,Tarde,2025-04-17 13:11:54,Acesso
202500388,Tarde,2025-04-17 13:12:01,Acesso
202500504,Tarde,2025-04-17 13:12:27,Acesso
202500477,Tarde,2025-04-17 13:12:41,Acesso
202500474,Tarde,2025-04-17 13:12:44,Acesso
202500476,Tarde,2025-04-17 13:12:48,Acesso
202500470,Tarde,2025-04-17 13:12:54,Acesso
202500432,Tarde,2025-04-17 13:13:54,Acesso
202500436,Tarde,2025-04-17 13:14:00,Acesso
202500473,Tarde,2025-04-17 13:15:00,Acesso
202500434,Tarde,2025-04-17 13:15:01,Acesso
202500490,Tarde,2025-04-17 13:15:35,Acesso
202500453,Tarde,2025-04-17 13:17:33,Acesso
202500462,Tarde,2025-04-17 13:17:39,Acesso
202500471,Tarde,2025-04-17 13:19:00,Acesso
202500483,Tarde,2025-04-17 13:19:14,Acesso
202500441,Tarde,2025-04-17 13:19:27,Acesso
202500409,Tarde,2025-04-17 13:19:36,Acesso
202500447,Tarde,2025-04-17 13:19:37,Acesso
202500387,Tarde,2025-04-17 13:19:46,Acesso
202500425,Tarde,2025-04-17 13:19:53,Acesso
202500510,Tarde,2025-04-17 13:20:05,Acesso
202500400,Tarde,2025-04-17 13:20:08,Acesso
202500401,Tarde,2025-04-17 13:21:35,Acesso
202500460,Tarde,2025-04-17 13:22:42,Acesso
202500469,Tarde,2025-04-17 13:22:57,Acesso
202500475,Tarde,2025-04-17 13:24:27,Acesso
202500482,Tarde,2025-04-17 13:26:23,Acesso
202500497,Tarde,2025-04-17 13:32:02,Acesso
202500480,Tarde,2025-04-17 13:42:19,Acesso
202500498,Tarde,2025-04-17 13:58:08,Acesso
202500392,Tarde,2025-04-17 14:03:21,Acesso
202500503,Tarde,2025-04-17 16:35:23,Acesso
202500468,Tarde,2025-04-17 16:47:55,Acesso
202500495,Tarde,2025-04-17 17:31:32,Acesso
202500499,Tarde,2025-04-17 17:40:51,Acesso
